Country Group PPGDP LifeExp
Albania other 8.2099068719896 75.31
Anguilla other 9.52880137579554 79.19
Argentina other 9.12283068903458 77.72
Armenia other 8.016548894924 74.54
Aruba other 10.036772039682 79.8
Australia oecd 10.952890339125 83.37
Austria oecd 10.7179404457228 81.96
Azerbaijan other 8.63721372201281 74.46
Bahamas other 10.0195624635112 79.22
Bahrain other 9.80830286485734 80.98
Bangladesh other 6.50787454916787 71.41
Barbados other 9.58171770417346 79.31
Belarus other 8.64857226947262 76.6
Belgium oecd 10.6877269388327 83.57
Belize other 8.41089890659832 75.76
Benin africa 6.60813556895731 60.72
Bermuda other 11.4363111237267 83.43
Bhutan other 7.62422828484558 73.62
Bolivia other 7.58979095478736 71.67
Bosnia other 8.40686480072065 76.54
Brazil other 9.27945590260686 76.25
Brunei other 10.3935266251115 79.46
Bulgaria other 8.75858522178718 76.73
Burkina africa 6.2532517220144 54.65
Burundi africa 5.17388728816986 53.93
Cambodia other 6.68110558833864 70.83
Cameroon africa 7.09556176600666 59.86
Canada oecd 10.7442117105526 85.62
CaymanIslands other 10.9516465447968 82.38
CentralAfricanRepublic africa 6.11102378216562 56.64
Chad africa 6.58947653255289 56.36
Chile oecd 9.38325953110749 80.86
China other 8.37885024179449 73.8
Colombia other 8.73597524521297 77.2
Comoros africa 6.60204500401097 57.39
Congo africa 7.88799685934812 60.93
CookIslands other 9.41018254248813 78.87
CostaRica other 8.949468992601 75.86
CotedIvoire africa 7.05107609842636 58.4
Croatia other 9.5338359172171 79.2
Cuba other 8.64899308586261 75.46
Cyprus other 10.2528865911554 81.2
CzechRepublic oecd 9.84367385183427 81.77
DemocraticRepublicCongo africa 5.30131287552784 52.15
Denmark oecd 10.9300702206014 81.62
Djibouti africa 7.15664454671476 59.76
Dominica other 8.85663245064086 77.68
DominicanRepublic other 8.55552889768181 72.79
EastTimor other 6.5597568705223 70.11
Ecuador other 8.31203689511641 73.76
ElSalvador other 8.13903191783542 74.02
Eritrea africa 6.06168999199748 55.42
Estonia oecd 9.55643756827699 79.74
Ethiopia africa 5.78259365508049 56.92
Fiji other 8.17349088068631 72.53
Finland oecd 10.7032826696718 82.43
France oecd 10.5852173015768 82.45
FrenchPolynesia other 10.113302673639 80.28
Gabon africa 9.4309848030893 66.67
Gambia africa 6.36147517423174 57.62
Georgia other 7.89368400753856 74.76
Germany oecd 10.5930558364788 81.97
Ghana africa 7.19533734643358 60.05
Greece oecd 10.1850433979205 81.84
Greenland other 10.4714314226687 82.87
Grenada other 8.91314653915181 74.48
Guatemala other 7.96634386552093 73.3
Guinea africa 6.05795428837681 56.23
GuineaBissau africa 6.29045741070563 57.2
Guyana other 8.00503334463711 74.8
Haiti other 6.41787541973161 68.14
Honduras other 7.61391739661958 72.92
HongKong other 10.3679665742017 80.69
Hungary oecd 9.46374151045109 79.71
Iceland other 10.5784198446752 81.17
India other 7.24878852693091 73.44
Indonesia other 7.98932313304099 73.15
Iran other 8.56161190996286 76.18
Iraq other 6.78953464759471 70.51
Ireland oecd 10.741174374504 82.76
Israel oecd 10.2857386210925 81.08
Italy oecd 10.4304945488805 83.02
Jamaica other 8.49678638163858 74.55
Japan oecd 10.6722267820343 83.88
Jordan other 8.39960263723411 75.28
Kazakhstan other 9.12333263134358 76.31
Kenya africa 6.68685920020841 57.08
Kiribati other 7.29179243967668 74.07
Kuwait other 10.7239367634693 82.18
Kyrgyzstan other 6.76319182779078 71.83
Laos other 6.95425711263356 72.62
Latvia other 9.27453508401818 78.97
Lebanon other 9.13601545321432 76.09
Liberia africa 5.38724357574244 56.67
Lithuania other 9.30342079499219 77.49
Luxembourg oecd 11.5626237880671 84.98
Macao other 10.8195822651998 80.44
Malawi africa 5.87885560272533 57.34
Malaysia other 9.03274363561794 76.85
Maldives other 8.45201446539124 74.44
Mali africa 6.39492765254547 56.97
Malta other 9.88324402805907 79.07
MarshallIslands other 8.02923738174099 76.44
Mauritania africa 7.03094588953734 58.67
Mexico oecd 9.11610661262344 78.94
Micronesia other 7.89290020606147 73.54
Moldova other 7.39375528131247 70.99
Mongolia other 7.71721775192343 72.9
Montenegro other 8.78106401276448 76.67
Mozambique africa 6.01004093268092 53.97
