GDPPC_GROWTH,ABSLATIT,AIRDIST,AVELF,BRIT,BUDDHA,CATH00,CIV72,COLONY,CONFUC,DENS60,DENS65C,DENS65I,DPOP6090,EAST,ECORG,ENGFRAC,EUROPE,FERTLDC1,GDE1,GDPCH60L,GEEREC1,GGCFD3,GOVNOM1,GVR61,H60,HERF00,HINDU00,IPRICE1,LAAM,LANDAREA,LANDLOCK,LHCPC,LIFE060,LT100CR,MALFAL66,MINING,MUSLIM00,NEWSTATE,OIL,OPENDEC1,ORTH00,OTHFRAC,P60,PI6090,SQPI6090,PRIGHTS,POP1560,POP60,POP6560,PRIEXP70,PROT00,RERD,REVCOUP,SAFRICA,SCOUT,SIZE60,SOCIALIST,SPAIN,TOT1DEC1,TOTIND,TROPICAR,TROPPOP,WARTIME,WARTORN,YRSOPEN,ZTROPICS
-3.18,0.569,6420,0.872253,0,0,0.008,0.1667,1,0,148.0764,30.75152,7.652775,0.027784,0,3,0,0,1.796913,0.024,6.192362,0.027,0.04,0.12,0.153,0,0.960536,0,429.52,0,2267050,0,0.940118,42.1,0.01,1,0.05,0.006,2,0,0.285,0,0,0.6,35.7116,1275.318366,6.56,0.4403,15310,0.029458,0.932,0.006,201,0.27,1,1,15.828624,0,0,-0.020479,0.206897,1,0.9892,0.04,1,0,0.20609
-2.52,4.331,5450,0.785556,0,0,0,0,1,0,406.1147,0,2.6919,0.022555,0,3,0,0,1.580215,0.009,6.556778,0.0231,0.06,0.21,0.3259,0,0.992032,0,103.8,0,622980,1,-4.60517,39.3,0,1,0.03,0.004,2,0,0.67,0,0,0.32,6.340489,40.201804,6.83,0.3864,1534,0.041721,0.557,0,156,0.39,1,0,13.892412,0,0,-0.002062,0.241379,1,1,0,0,0,0.443271
-1.88,12.942,7820,0.829398,1,0,0.001,0.3333,1,0,236.673,0,4.861513,0.033396,0,1,0,0,1.901062,0.015,6.872128,0.0159,0.24,0.22,0.1841,0,0.996006,0,48.33,0,743390,1,-4.60517,41.8,0,1,0.2,0,2,0,0.89,0,0,0.42,17.399725,302.750438,5.11,0.4518,3141,0.023559,0.998,0.001,206,0.05,1,1,14.924425,0,0,-0.031845,0.262069,1,1,0,0,0.04,0.0249
-1.79,13.876,4460,0.732914,0,0,0,0.1667,1,0,418.3289,0,2.889398,0.031613,0,5,0,0,1.925124,0.01,6.276643,0.0049,0.03,0.1,0.2591,0,0.504802,0,93.3,0,1266700,1,-4.60517,35.4,0,0.76,0.08,0.451,2,0,0.2865,0,0.035,0.05,5.107619,26.087767,6.89,0.4147,3028,0.023448,0.963,0,204,0.16,1,1,14.292301,0,0,-0.011778,0.206897,0.9998,1,0,0,0,0.37614
-1.61,18.958,8940,0.062749,0,0,0.18,0.6667,1,0,109.5385,8.653484,12.95668,0.026986,0,1,0,0,1.885705,0.013,7.082549,0.0206,0.03,0.2,0.1054,0,0.440978,0,207.93,0,581540,0,-0.561256,41,0.57,1,0.08,0.005,2,0,0.372,0,0,0.52,9.234407,85.274267,5.22,0.411,5309,0.028066,0.928,0.212,120,0.1,1,0,15.659707,0,0,-0.011248,0.206897,0.8768,0.48897,0,0,0,0.124251
-1.01,6.385,5260,0.803055,0,0,0,0.1667,0,0,92.7045,14.02777,10.4754,0.030287,0,5,0.03,0,1.862684,0.009,6.575076,0.0144,0.03,0.16,0.1836,0,0.843552,0,100.6,0,96320,0,-4.60517,41.5,0.68,1,0.1,0.02,0,0,0.972,0,0,0.31,4.19,17.5561,5.72,0.4225,1039,0.036574,0.973,0.064,169,0.23,1,1,13.52109,0,0,-0.034967,0.137931,1,0.4435,0.04,1,0.01,0.434209
-0.87,18.932,2500,0.064405,0,0,0.952,0.1667,1,0,7.2393,150.3266,0,0.017617,0,3,0,0,1.780193,0.025,6.828712,0.0153,0,0.09,0.1177,0,0.908608,0,100.91,1,27560,0,-4.60517,42.4,1,1,0,0,0,0,0.291,0,0.075,0.46,6.447132,41.565513,6.5,0.4093,3807,0.050433,0.744,0.048,114,0.16,0,0,15.073309,0,0,-0.0288,0.158621,1,0,0.2,1,0,0.206555
-0.67,14.772,4757,0.778868,0,0,0.018,0.1667,1,0,60.411,47.15005,9.656407,0.027802,0,4,0,0,1.867022,0.011,6.953684,0.0187,0.02,0.21,0.2543,0,0.569848,0,100.48,0,192530,0,-4.60517,39.6,0.59,1,0,0.7,2,0,0.593,0,0.001,0.27,5.909435,34.921416,4.33,0.4266,3187,0.030122,0.811,0,146,0.04,1,0,15.02052,0,0,0.03502,0.234483,1,0.4321,0,0,0,0.848604
-0.41,6.694,5190,0.706071,1,0,0.004,0.1667,1,0,33.5902,77.20781,24.16616,0.027276,0,3,0,0,1.902853,0.018,6.795706,0.026,0.02,0.13,0.065,0,0.821496,0,158.22,0,227540,0,1.633371,45.2,0.19,1,0.02,0.05,2,0,0.3845,0,0,0.38,25.81073,666.193797,5.89,0.4459,6774,0.025391,0.994,0.042,248,0.55,1,0,15.616553,0,0,0.029546,0.310345,1,0.5747,0,0,0.22,0.924044
-0.31,13.257,4660,0.78037,1,0,0.021,0.8333,1,0,28.4091,63.06274,25.30601,0.030004,0,5,0,0,1.871802,0,6.400257,0.0211,0.01,0.22,0.1759,0,0.678592,0.001,162.64,0,10000,0,-4.60517,32.3,1,1,0,0.81,2,0,0.685,0,0,0.12,9.081665,82.476638,2.44,0.3945,352,0.03125,1,0.021,150,0.05,1,0,12.263889,0,0,-0.006318,0,1,0.3605,0,0,0.22,0.647871
