Core,Depth,Density
1,0,0.38107
1,0.02,0.338026
1,0.04,0.307586
1,0.06,0.302354
1,0.08,0.306076
1,0.1,0.314275
1,0.12,0.333224091
1,0.14,0.352173182
1,0.16,0.368612273
1,0.18,0.377521364
1,0.2,0.386430455
1,0.22,0.389305
1,0.24,0.386145
1,0.26,0.389877308
1,0.28,0.394617308
1,0.3,0.399426538
1,0.32,0.375993462
1,0.34,0.335615
1,0.36,0.378455
1,0.38,0.404181154
1,0.4,0.401384231
1,0.42,0.399681154
1,0.44,0.397385897
1,0.46,0.388393077
1,0.48,0.383736154
1,0.5,0.383415128
1,0.52,0.407643462
1,0.54,0.426561316
1,0.56,0.419026579
1,0.58,0.391207632
1,0.6,0.356798947
1,0.62,0.361466316
1,0.64,0.370023684
1,0.66,0.382471053
1,0.68,0.385942105
1,0.7,0.383428947
1,0.72,0.378708947
1,0.74,0.373043158
1,0.76,0.382299474
1,0.78,0.395286316
1,0.8,0.403661842
1,0.82,0.411525
1,0.84,0.420283621
1,0.86,0.424573793
1,0.88,0.40950069
1,0.9,0.402665172
1,0.92,0.409558966
1,0.94,0.416625
1,0.96,0.423825
1,0.98,0.409552059
1,1,0.388121471
1,1.02,0.381182059
1,1.04,0.382937353
1,1.06,0.386229118
1,1.08,0.391057353
1,1.1,0.386499118
1,1.12,0.366296765
1,1.14,0.373676001
1,1.16,0.441131684
1,1.18,0.440582411
1,1.2,0.456748886
1,1.22,0.468720203
1,1.24,0.458576608
1,1.26,0.453235822
1,1.28,0.453341913
1,1.3,0.461156216
1,1.32,0.473801624
1,1.34,0.461530125
1,1.36,0.445238171
1,1.38,0.44918741
1,1.4,0.453376499
1,1.42,0.457800336
1,1.44,0.444888847
1,1.46,0.429540706
1,1.48,0.42176418
1,1.5,0.41500075
1,1.52,0.410477576
1,1.54,0.412023387
1,1.56,0.425568493
1,1.58,0.423863338
1,1.6,0.411248202
1,1.62,0.435052267
1,1.64,0.454844267
1,1.66,0.468511669
1,1.68,0.476989276
1,1.7,0.478537287
1,1.72,0.477139204
1,1.74,0.470195318
1,1.76,0.466501579
1,1.78,0.466643368
1,1.8,0.466224313
1,1.82,0.465123781
1,1.84,0.47030193
1,1.86,0.477089827
1,1.88,0.475754935
1,1.9,0.468272061
1,1.92,0.461414982
1,1.94,0.45525786
1,1.96,0.454568542
1,1.98,0.457777415
1,2,0.446513852
1,2.02,0.427921005
1,2.04,0.433955974
1,2.06,0.471036171
1,2.08,0.487696926
1,2.1,0.443099356
1,2.12,0.398951128
1,2.14,0.38270879
1,2.16,0.374054623
1,2.18,0.385639599
1,2.2,0.387596358
1,2.22,0.3850803
1,2.24,0.390012129
1,2.26,0.396058991
1,2.28,0.40634502
1,2.3,0.418115498
1,2.32,0.440960066
1,2.34,0.451400796
1,2.36,0.436757919
1,2.38,0.431090702
1,2.4,0.430536574
1,2.42,0.436023369
1,2.44,0.447574148
1,2.46,0.451864924
1,2.48,0.452368329
1,2.5,0.44516735
1,2.52,0.433557721
1,2.54,0.434066449
1,2.56,0.438233439
1,2.58,0.457986978
1,2.6,0.477740517
1,2.62,0.476146106
1,2.64,0.472449998
1,2.66,0.468156132
1,2.68,0.465314301
1,2.7,0.477330425
1,2.72,0.486780991
1,2.74,0.470661244
1,2.76,0.456643855
1,2.78,0.455519802
1,2.8,0.450917894
1,2.82,0.442431372
1,2.84,0.444885218
1,2.86,0.45748689
1,2.88,0.448110715
1,2.9,0.428735547
1,2.92,0.402546466
1,2.94,0.399120836
1,2.96,0.469457797
1,2.98,0.509769896
1,3,0.460007411
1,3.02,0.452333807
1,3.04,0.470100874
1,3.06,0.481687127
1,3.08,0.483757205
1,3.1,0.480506084
1,3.12,0.474273731
1,3.14,0.474095913
1,3.16,0.478819056
1,3.18,0.483465683
1,3.2,0.488026698
1,3.22,0.492154998
1,3.24,0.490825153
1,3.26,0.489495308
1,3.28,0.489312152
1,3.3,0.490379996
1,3.32,0.491591217
1,3.34,0.493566823
1,3.36,0.495542429
1,3.38,0.492799792
1,3.4,0.48950744
1,3.42,0.480330971
1,3.44,0.463866833
1,3.46,0.450225868
1,3.48,0.450193121
1,3.5,0.450805715
1,3.52,0.454178997
1,3.54,0.457552278
1,3.56,0.463665292
1,3.58,0.469877655
1,3.6,0.473517394
1,3.62,0.476947498
1,3.64,0.477607438
1,3.66,0.476806938
1,3.68,0.47882291
1,3.7,0.484847348
1,3.72,0.490871787
1,3.74,0.487688249
1,3.76,0.483431905
1,3.78,0.477241978
1,3.8,0.469116027
1,3.82,0.461918221
1,3.84,0.457504855
1,3.86,0.453091488
1,3.88,0.445517909
1,3.9,0.433765931
1,3.92,0.423667876
1,3.94,0.448018664
1,3.96,0.472369452
1,3.98,0.477655466
1,4,0.468977939
1,4.02,0.461571408
1,4.04,0.463115362
1,4.06,0.464659317
1,4.08,0.470120744
1,4.1,0.47756795
1,4.12,0.483052329
1,4.14,0.477228736
1,4.16,0.471405143
1,4.18,0.476928698
1,4.2,0.488271881
1,4.22,0.497480736
1,4.24,0.501703283
1,4.26,0.505773
1,4.28,0.504435481
1,4.3,0.503097963
1,4.32,0.503078147
1,4.34,0.504143313
1,4.36,0.505208479
1,4.38,0.501229056
1,4.4,0.496651372
1,4.42,0.490757326
1,4.44,0.483066018
1,4.46,0.47537471
1,4.48,0.476363
1,4.5,0.477998294
1,4.52,0.48940472
1,4.54,0.507446926
1,4.56,0.517435355
1,4.58,0.495780233
1,4.6,0.477326866
1,4.62,0.468478764
1,4.64,0.462840743
1,4.66,0.480537958
1,4.68,0.485775024
1,4.7,0.479986341
1,4.72,0.476836105
1,4.74,0.475078144
1,4.76,0.48056598
1,4.78,0.490042501
1,4.8,0.508377826
1,4.82,0.515902512
1,4.84,0.510916862
1,4.86,0.508578469
1,4.88,0.512941004
1,4.9,0.515647333
1,4.92,0.509263129
1,4.94,0.508729565
1,4.96,0.517082974
1,4.98,0.519438054
1,5,0.510398433
1,5.02,0.502266165
1,5.04,0.498742535
1,5.06,0.496396414
1,5.08,0.497294741
1,5.1,0.497639157
1,5.12,0.49678889
1,5.14,0.502330271
1,5.16,0.512644931
1,5.18,0.499923153
1,5.2,0.483358848
1,5.22,0.481267514
1,5.24,0.480389305
1,5.26,0.488143609
1,5.28,0.487937935
1,5.3,0.477375719
1,5.32,0.484064723
1,5.34,0.487110497
1,5.36,0.493903854
1,5.38,0.491918741
1,5.4,0.49144113
1,5.42,0.497652682
1,5.44,0.475373156
1,5.46,0.48592679
1,5.48,0.48919416
1,5.5,0.491987461
1,5.52,0.496265837
1,5.54,0.496209164
1,5.56,0.494170643
1,5.58,0.49022297
1,5.6,0.516472983
1,5.62,0.527090895
1,5.64,0.488572911
1,5.66,0.497574717
1,5.68,0.506303304
1,5.7,0.49604387
1,5.72,0.493476589
1,5.74,0.495029126
1,5.76,0.494113706
1,5.78,0.51756595
1,5.8,0.499499478
1,5.82,0.505294718
1,5.84,0.511089959
1,5.86,0.516885199
1,5.88,0.517866512
1,5.9,0.506926131
1,5.92,0.522829026
1,5.94,0.50498482
1,5.96,0.505856029
1,5.98,0.514968148
1,6,0.515430198
1,6.02,0.509233781
1,6.04,0.509580124
1,6.06,0.512006165
1,6.08,0.510400299
1,6.1,0.510456608
1,6.12,0.512358925
1,6.14,0.507112649
1,6.16,0.48900891
1,6.18,0.491627059
1,6.2,0.505305363
1,6.22,0.511772332
1,6.24,0.51129598
1,6.26,0.509743985
1,6.28,0.501896052
1,6.3,0.511033853
1,6.32,0.517989159
1,6.34,0.515795222
1,6.36,0.515537583
1,6.38,0.531966286
1,6.4,0.508062855
1,6.42,0.511762632
1,6.44,0.497101399
1,6.46,0.485661111
1,6.48,0.504135394
1,6.5,0.514495605
1,6.52,0.502347547
1,6.54,0.495938512
1,6.56,0.488158801
1,6.58,0.483036094
1,6.6,0.495152108
1,6.62,0.507900452
1,6.64,0.503063089
1,6.66,0.500490779
1,6.68,0.507449318
1,6.7,0.507504331
1,6.72,0.498193223
1,6.74,0.515425851
1,6.76,0.513896486
1,6.78,0.502263557
1,6.8,0.532606997
1,6.82,0.525420116
1,6.84,0.52031001
1,6.86,0.522846889
1,6.88,0.531899626
1,6.9,0.542018763
1,6.92,0.54259024
1,6.94,0.520426441
1,6.96,0.511421995
1,6.98,0.501736028
1,7,0.499376418
1,7.02,0.503603499
1,7.04,0.51136658
1,7.06,0.522953662
1,7.08,0.5262094
1,7.1,0.51150643
1,7.12,0.494735936
1,7.14,0.495986344
1,7.16,0.508341385
1,7.18,0.518311393
1,7.2,0.506874688
1,7.22,0.495736177
1,7.24,0.501050843
1,7.26,0.502305215
1,7.28,0.517311346
1,7.3,0.516268726
1,7.32,0.506897436
1,7.34,0.502413842
1,7.36,0.517825616
1,7.38,0.488987337
1,7.4,0.492562786
1,7.42,0.507723172
1,7.44,0.514333873
1,7.46,0.500352769
1,7.48,0.495918505
1,7.5,0.498620852
1,7.52,0.50875183
1,7.54,0.515874177
1,7.56,0.51227553
1,7.58,0.513948587
1,7.6,0.483552482
1,7.62,0.490963419
1,7.64,0.514593969
1,7.66,0.539456255
1,7.68,0.547969106
1,7.7,0.540479196
1,7.72,0.531322914
1,7.74,0.531377989
1,7.76,0.523599139
1,7.78,0.52802234
1,7.8,0.528718249
1,7.82,0.513323268
1,7.84,0.50039386
1,7.86,0.488376623
1,7.88,0.502139574
1,7.9,0.518499244
1,7.92,0.521837966
1,7.94,0.514567283
1,7.96,0.529961344
1,7.98,0.518160724
1,8,0.512185034
1,8.02,0.515760069
1,8.04,0.523630397
1,8.06,0.524855439
1,8.08,0.523700413
1,8.1,0.543334176
1,8.12,0.54576511
1,8.14,0.529661304
1,8.16,0.543489787
1,8.18,0.525335764
1,8.2,0.531135725
1,8.22,0.53068123
1,8.24,0.520858573
1,8.26,0.531956127
1,8.28,0.52672806
1,8.3,0.503248121
1,8.32,0.495426916
1,8.34,0.515717623
1,8.36,0.548016463
1,8.38,0.533708204
1,8.4,0.524676561
1,8.42,0.519200521
1,8.44,0.517037184
1,8.46,0.51020689
1,8.48,0.48380365
1,8.5,0.545451346
1,8.52,0.542659978
1,8.54,0.537855896
1,8.56,0.532691968
1,8.58,0.528968308
1,8.6,0.527790572
1,8.62,0.530920497
1,8.64,0.532530055
1,8.66,0.528289634
1,8.68,0.521667165
1,8.7,0.535870917
1,8.72,0.534836898
1,8.74,0.526111938
1,8.76,0.515178861
1,8.78,0.54085415
1,8.8,0.541381016
1,8.82,0.537613496
1,8.84,0.544896443
1,8.86,0.548015249
1,8.88,0.550358612
1,8.9,0.54790047
1,8.92,0.540510223
1,8.94,0.538836789
1,8.96,0.535399483
1,8.98,0.539478066
1,9,0.550461158
1,9.02,0.536769007
1,9.04,0.544046394
1,9.06,0.545596538
1,9.08,0.531524428
1,9.1,0.53795421
1,9.12,0.543517725
1,9.14,0.548407295
1,9.16,0.552539151
1,9.18,0.567517323
1,9.2,0.567917896
1,9.22,0.557615362
1,9.24,0.545634793
1,9.26,0.525921898
1,9.28,0.516442369
1,9.3,0.495436065
1,9.32,0.511547109
1,9.34,0.524166378
1,9.36,0.511671976
1,9.38,0.513163331
1,9.4,0.54835603
1,9.42,0.496421854
1,9.44,0.519872172
1,9.46,0.557885526
1,9.48,0.559841304
1,9.5,0.559732159
1,9.52,0.552782742
1,9.54,0.55876151
1,9.56,0.55445359
1,9.58,0.55185906
1,9.6,0.556535505
1,9.62,0.554478247
1,9.64,0.552901011
1,9.66,0.543435137
1,9.68,0.536359589
1,9.7,0.537416638
1,9.72,0.545081557
1,9.74,0.545945324
1,9.76,0.541053259
1,9.78,0.523330727
1,9.8,0.524617332
1,9.82,0.537349319
1,9.84,0.539633722
1,9.86,0.54107113
1,9.88,0.538613538
1,9.9,0.526202521
1,9.92,0.530032253
1,9.94,0.554766426
1,9.96,0.541919359
1,9.98,0.514160202
1,10,0.508317435
1,10.02,0.523068164
1,10.04,0.523205179
1,10.06,0.518058321
1,10.08,0.532916201
1,10.1,0.53069421
1,10.12,0.537075408
1,10.14,0.539675136
1,10.16,0.53519308
1,10.18,0.5306349
1,10.2,0.530836144
1,10.22,0.543790684
1,10.24,0.540683559
1,10.26,0.537093361
1,10.28,0.553483626
1,10.3,0.555979979
1,10.32,0.548091479
1,10.34,0.573524031
1,10.36,0.586154507
1,10.38,0.517673708
1,10.4,0.540672079
1,10.42,0.549169302
1,10.44,0.552600704
1,10.46,0.55039808
1,10.48,0.536066801
1,10.5,0.517897906
1,10.52,0.518350273
1,10.54,0.532144177
1,10.56,0.55150328
1,10.58,0.549589879
1,10.6,0.553489528
1,10.62,0.561805916
1,10.64,0.534131658
1,10.66,0.534375826
1,10.68,0.536219946
1,10.7,0.532274924
1,10.72,0.53331534
1,10.74,0.547515546
1,10.76,0.550226304
1,10.78,0.5515309
1,10.8,0.557048044
1,10.82,0.564762888
1,10.84,0.562899739
1,10.86,0.560526503
1,10.88,0.537836695
1,10.9,0.510096741
1,10.92,0.497724292
1,10.94,0.502148132
1,10.96,0.542343103
1,10.98,0.538670826
1,11,0.565922031
1,11.02,0.569969831
1,11.04,0.559042175
1,11.06,0.552408031
1,11.08,0.537058145
1,11.1,0.539006565
1,11.12,0.540498449
1,11.14,0.53826158
1,11.16,0.541702473
1,11.18,0.538328629
1,11.2,0.544486295
1,11.22,0.549633614
1,11.24,0.545909502
1,11.26,0.52850672
1,11.28,0.548529185
1,11.3,0.564299265
1,11.32,0.569019561
1,11.34,0.55752676
1,11.36,0.566382071
1,11.38,0.572317429
1,11.4,0.57309484
1,11.42,0.562008169
1,11.44,0.526150814
1,11.46,0.536841949
1,11.48,0.5610167
1,11.5,0.573097209
1,11.52,0.559936764
1,11.54,0.540952915
1,11.56,0.546455652
1,11.58,0.550524531
1,11.6,0.545495903
1,11.62,0.542075856
1,11.64,0.542643556
1,11.66,0.531388856
1,11.68,0.535392538
1,11.7,0.546702813
1,11.72,0.55697641
1,11.74,0.562251715
1,11.76,0.56332
1,11.78,0.564357755
1,11.8,0.563537554
1,11.82,0.570113298
1,11.84,0.576079638
1,11.86,0.568068898
1,11.88,0.548585274
1,11.9,0.558364252
1,11.92,0.563297294
1,11.94,0.558689214
1,11.96,0.55540739
1,11.98,0.552087535
1,12,0.556936923
1,12.02,0.560791971
1,12.04,0.56165554
1,12.06,0.560557317
1,12.08,0.552723549
1,12.1,0.562463103
1,12.12,0.561267277
1,12.14,0.557096666
1,12.16,0.563127069
1,12.18,0.572182709
1,12.2,0.564541903
1,12.22,0.553532864
1,12.24,0.542228252
1,12.26,0.531185979
1,12.28,0.568444134
1,12.3,0.580350817
1,12.32,0.565909307
1,12.34,0.541826491
1,12.36,0.553566776
1,12.38,0.572341136
1,12.4,0.569152527
1,12.42,0.55776082
1,12.44,0.550496757
1,12.46,0.552829963
1,12.48,0.56888903
1,12.5,0.561435308
1,12.52,0.549557665
1,12.54,0.545967367
1,12.56,0.557123809
1,12.58,0.556304873
1,12.6,0.56216365
1,12.62,0.560801348
1,12.64,0.529787974
1,12.66,0.535355163
1,12.68,0.542309462
1,12.7,0.554905776
1,12.72,0.562720901
1,12.74,0.56541302
1,12.76,0.560938941
1,12.78,0.553297299
1,12.8,0.568483528
1,12.82,0.542969955
1,12.84,0.542521452
1,12.86,0.555945673
1,12.88,0.5398479
1,12.9,0.556586784
1,12.92,0.568853222
1,12.94,0.572540632
1,12.96,0.570493576
1,12.98,0.575168936
1,13,0.572821053
1,13.02,0.578429101
1,13.04,0.583434331
1,13.06,0.580282493
1,13.08,0.570709165
1,13.1,0.60304616
1,13.12,0.588971212
1,13.14,0.577257554
1,13.16,0.578949613
1,13.18,0.58077686
1,13.2,0.57339701
1,13.22,0.562535811
1,13.24,0.572914077
1,13.26,0.581797545
1,13.28,0.58856617
1,13.3,0.589589415
1,13.32,0.571093213
1,13.34,0.576769316
1,13.36,0.579900242
1,13.38,0.584734757
