age,education,wage
50,5. Advanced Degree,212.8423523
38,4. College Grad,200.5432623
57,5. Advanced Degree,200.5432623
59,5. Advanced Degree,200.5432623
37,4. College Grad,200.5432623
45,4. College Grad,200.5432623
35,5. Advanced Degree,200.5432623
45,5. Advanced Degree,200.5432623
43,5. Advanced Degree,200.5432623
27,5. Advanced Degree,200.5432623
45,5. Advanced Degree,200.5432623
30,4. College Grad,200.5432623
48,4. College Grad,200.5432623
59,5. Advanced Degree,200.5432623
63,5. Advanced Degree,200.5432623
54,4. College Grad,200.5432623
38,5. Advanced Degree,200.5432623
36,5. Advanced Degree,200.5432623
43,5. Advanced Degree,200.5432623
39,5. Advanced Degree,198.3502905
42,5. Advanced Degree,198.3502905
40,5. Advanced Degree,198.3502905
61,5. Advanced Degree,196.1252726
33,4. College Grad,196.1252726
37,5. Advanced Degree,196.1252726
45,5. Advanced Degree,196.1252726
43,4. College Grad,196.1252726
55,5. Advanced Degree,195.676308
40,3. Some College,193.8668781
53,4. College Grad,193.4526069
35,5. Advanced Degree,193.4110705
43,5. Advanced Degree,191.5736835
51,5. Advanced Degree,191.5736835
49,5. Advanced Degree,191.5736835
52,4. College Grad,191.5736835
46,5. Advanced Degree,190.5476786
59,5. Advanced Degree,189.2441629
37,4. College Grad,189.2441629
72,5. Advanced Degree,189.2441629
51,4. College Grad,189.2441629
42,4. College Grad,186.8766776
50,5. Advanced Degree,186.8766776
30,3. Some College,186.8766776
41,4. College Grad,186.8766776
38,5. Advanced Degree,186.8766776
33,5. Advanced Degree,185.9186629
46,4. College Grad,185.2833171
47,4. College Grad,184.4694642
43,5. Advanced Degree,184.1671358
42,5. Advanced Degree,182.020621
59,5. Advanced Degree,182.020621
29,3. Some College,182.020621
47,5. Advanced Degree,182.020621
30,4. College Grad,182.020621
44,5. Advanced Degree,182.020621
40,2. HS Grad,182.020621
37,5. Advanced Degree,182.020621
50,4. College Grad,182.020621
50,5. Advanced Degree,182.020621
37,4. College Grad,180.7799522
38,5. Advanced Degree,180.7799522
41,5. Advanced Degree,180.0301971
53,3. Some College,179.5280922
38,5. Advanced Degree,179.5280922
36,5. Advanced Degree,179.214858
51,4. College Grad,178.7006572
28,4. College Grad,178.5330504
43,5. Advanced Degree,176.9906754
57,5. Advanced Degree,176.9896505
51,5. Advanced Degree,176.9896505
40,4. College Grad,176.9896505
36,3. Some College,176.9896505
48,5. Advanced Degree,176.9896505
61,5. Advanced Degree,176.9896505
57,4. College Grad,176.9896505
38,3. Some College,176.9896505
38,5. Advanced Degree,176.9896505
53,4. College Grad,176.9896505
38,4. College Grad,176.9896505
49,3. Some College,176.9896505
47,4. College Grad,176.9896505
31,5. Advanced Degree,176.9896505
76,5. Advanced Degree,176.9896505
48,5. Advanced Degree,176.9896505
52,5. Advanced Degree,176.9896505
42,4. College Grad,176.9896505
49,2. HS Grad,176.9896505
40,5. Advanced Degree,176.9896505
52,5. Advanced Degree,176.9896505
31,5. Advanced Degree,176.9896505
45,4. College Grad,176.9896505
50,2. HS Grad,176.9896505
42,5. Advanced Degree,176.9896505
45,4. College Grad,176.9896505
53,5. Advanced Degree,176.9896505
44,4. College Grad,176.9896505
54,4. College Grad,176.9896505
41,4. College Grad,176.9896505
50,3. Some College,176.9896505
37,4. College Grad,176.9896505
47,4. College Grad,176.9896505
43,4. College Grad,176.9896505
37,3. Some College,176.9896505
50,3. Some College,175.9608831
